Símbolo	Nome	Tipo de Ativo
CTSA3.SA	Companhia Tecidos Santanense Ltda.	EQUITY
CTSA4.SA	Companhia Tecidos Santanense Ltda.	EQUITY
COPH34.SA	COPHILLIPS  DRN	EQUITY
STZB34.SA	Constellation Brands, Inc.	EQUITY
TEND3.SA	TENDA       ON      NM	EQUITY
C1PR34.SA	COPART INC  DRN	EQUITY
ASMT11.SA	Core Metropolis Fundo De Investimento Imobiliario	EQUITY
G1LW34.SA	Corning Incorporated	EQUITY
C1TV34.SA	CORTEVA INC DRN	EQUITY
CSAN3.SA	COSAN       ON      NM	EQUITY
C1GP34.SA	CoStar Group, Inc.	EQUITY
COWC34.SA	Costco Wholesale Corporation	EQUITY
COTY34.SA	COTY INC    DRN	EQUITY
C2PR34.SA	Cousins Properties Incorporated	EQUITY
CPFE3.SA	CPFL ENERGIAON      NM	EQUITY
B2AP34.SA	CREDICORP LTDRN	EQUITY
C1RH34.SA	CRH PLC     DRN	EQUITY
C2RS34.SA	CRISPR Therapeutics AG	EQUITY
C2RW34.SA	CrowdStrike Holdings, Inc.	EQUITY
C1CI34.SA	Crown Castle Inc.	EQUITY
CL=F	Crude Oil Dec 24	FUTURE
CSED3.SA	Cruzeiro do Sul Educacional S.A.	EQUITY
HGFF11.SA	CSHG Imobiliario Fof - Fundo De Investimento Imobiliario - Fii	EQUITY
HGPO11.SA	Cshg Jhsf Prime Offices Fundo De Investimento Imobiliario	EQUITY
HGLG11.SA	Cshg Logistica - Fundo De Investimento Imobiliario	EQUITY
HGRE11.SA	CSHG Real Estate - Fundo de Investimento Imobiliario - FII	EQUITY
HGCR11.SA	CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII	EQUITY
HGRU11.SA	CSHG Renda Urbana Fundo Investimento Imobilirio - FII	EQUITY
CMIN3.SA	CSNMINERACAOON      N2	EQUITY
7500.HK	CSOP Leveraged and Inverse Series - CSOP Hang Seng Index Daily (-2x) Inverse Product	ETF
7200.HK	CSOP Leveraged and Inverse Series - CSOP Hang Seng Index Daily (2x) Leveraged Product	ETF
7552.HK	CSOP Leveraged and Inverse Series - CSOP Hang Seng TECH Index Daily (-2x) Inverse Product	ETF
7226.HK	CSOP Leveraged and Inverse Series - CSOP Hang Seng TECH Index Daily (2x) Leveraged Product	ETF
CSUD3.SA	CSU DIGITAL ON      NM	EQUITY
CSXC34.SA	CSX CORP    DRN	EQUITY
00753L.TW	CTBC BANK CO LTD CHINATRUST CTB	ETF
00882.TW	CTBC Hang Seng China High Dividend Yield ETF	ETF
00934.TW	CTBC TIP Customized Taiwan Growth and High Dividend ETF	ETF
00795B.TWO	CTBC U.S. Treasury 20+ Year Bond ETF	ETF
TRPL4.SA	CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.	EQUITY
TRPL3.SA	CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.	EQUITY
CURY3.SA	Cury Construtora e Incorporadora S.A.	EQUITY
CVCB3.SA	CVC Brasil Operadora e Agência de Viagens S.A.	EQUITY
CVSH34.SA	CVS Health Corporation	EQUITY
CXRI11.SA	CXFI - Caixa Rio Bravo Fundo Fundos	EQUITY
CYRE3.SA	Cyrela Brazil Realty S.A. Empreendimentos e Participações	EQUITY
CYCR11.SA	Cyrela Credito - Fundo De Investimento Imobiliario	EQUITY
D1HI34.SA	D.R. Horton, Inc.	EQUITY
DMVF3.SA	d1000 Varejo Farma Participações S.A.	EQUITY
DHER34.SA	Danaher Corporation	EQUITY
D1DG34.SA	DATADOG INC DRN	EQUITY
DVAI34.SA	DAVITA INC  DRN	EQUITY
^GDAXI	DAX                           P	INDEX
DEEC34.SA	DEERE CO    DRN	EQUITY
D1EL34.SA	Dell Technologies Inc.	EQUITY
DELL	Dell Technologies Inc.	EQUITY
DEAI34.SA	Delta Air Lines, Inc.	EQUITY
DESK3.SA	DESKTOP     ON      NM	EQUITY
DBAG34.SA	Deutsche Bank Aktiengesellschaft	EQUITY
