Código Tabela	Código Variável
919	2091
919	1002090
919	2090
919	1002059
919	2059
920	2093
920	1002093
920	2094
920	1002094
920	2095
920	1002095
921	2060
922	2056
922	1002056
922	2057
922	1002057
923	183
923	2057
923	2058
925	2059
925	1002059
926	1002057
926	2057
926	2326
926	1002326
927	1002064
927	2064
927	2063
927	1002062
927	2062
927	1002063
927	2061
927	1002059
927	2059
927	1002060
927	2060
927	1002061
928	183
928	2057
928	2058
929	2060
929	2059
929	2065
930	2068
930	1002067
930	1002068
930	1002066
930	2066
930	2067
931	2066
931	1002066
931	2067
931	1002067
931	2068
931	1002068
932	1002069
932	2069
932	1002071
932	2071
932	2070
932	1002072
932	2072
932	1002070
933	2078
933	1002378
933	2378
933	1002080
933	2080
933	1002377
933	2377
933	1002079
933	2079
933	1002078
933	1002077
933	2073
933	1002076
933	2076
933	1002075
933	2075
933	1002074
933	2074
933	1002073
933	1002072
933	2072
933	2077
935	1002100
935	2100
935	1002099
935	2099
935	1002098
935	2098
935	2097
935	1002096
935	2096
935	1002060
935	2060
935	1002097
936	1002102
936	2102
936	2586
936	1002586
937	183
937	2102
937	2103
938	2599
938	1002599
939	1002104
939	2104
939	1002334
939	2334
940	183
940	2104
940	2105
941	1002192
941	2192
941	2191
941	1002190
941	2190
941	1002287
941	2287
941	1002286
941	1002191
941	1002284
941	2284
941	1002261
941	2261
941	1002262
941	2262
941	2286
941	1002285
941	2285
942	2109
942	1002109
942	2341
942	1002341
943	2334
943	1002334
943	2104
943	1002104
943	2105
943	1002105
944	1002111
944	2340
944	1002340
944	2110
944	1002110
944	2111
945	2106
945	2107
945	2108
946	2113
946	1002113
946	2114
946	1002114
947	2113
947	2114
947	2115
948	1002116
948	2116
948	2275
948	1002275
949	183
949	214
949	216
949	215
950	1002196
950	42
950	1000042
950	2196
951	2272
951	183
951	2196
952	43
952	1000043
952	2197
952	1002197
953	183
953	2197
953	2273
954	46
954	1000046
954	2198
954	1002198
955	2274
955	183
955	2198
956	2380
956	1002380
956	2379
956	1002379
957	1002201
957	2201
957	1002202
957	1002200
957	2202
957	1002199
957	47
957	2200
957	2199
957	1000047
958	47
958	2199
958	2276
959	2277
959	1002208
959	2208
959	1002207
959	2207
959	1002206
959	2205
959	1002205
959	1002277
959	1002204
959	2204
959	1002203
959	2203
959	2206
960	2209
960	183
961	54
961	2213
961	1002212
961	2212
961	1002211
961	1002213
961	1002210
961	2210
961	1000054
961	2211
962	183
962	2210
962	2278
963	1002218
963	1002279
963	2279
963	1002219
963	2219
963	2218
963	1002217
963	1002216
963	2216
963	1002215
963	2215
963	1002214
963	2214
963	2217
964	2220
964	55
964	1000055
964	1002220
965	2221
965	2220
965	2223
966	1002232
966	2232
966	1002233
966	2233
966	1002231
966	2230
966	1002230
966	1000056
966	56
966	2231
967	183
967	2230
967	2280
968	2238
968	2240
968	1002239
968	2239
968	1002238
968	1002237
968	1002240
968	1002236
968	2236
968	1002235
968	2235
968	1002234
968	2234
968	2237
969	1002241
969	2241
969	2283
969	1002283
970	2242
970	2243
970	2244
971	1002258
971	2258
971	1002257
971	1002256
971	2256
971	2257
972	2259
972	2243
972	2244
973	2259
974	2243
974	2260
974	2244
975	1001990
975	1990
976	2598
976	1002598
977	2598
977	1002598
978	2600
978	1002600
982	1002601
982	2601
983	1002270
983	2270
984	690
984	1000690
985	2271
985	1002271
986	1002275
986	2275
988	662
988	5944
988	1606
988	1000708
988	1000662
988	1000707
988	706
988	708
988	707
988	1000706
992	3877
992	1003877
992	3878
992	1003878
992	3879
992	1003879
992	3880
992	1003880
992	1606
992	1000662
992	3883
992	3884
992	10143
992	10144
992	10145
992	10146
992	10147
992	3881
992	3882
992	5948
992	5947
992	2585
992	1002585
992	707
992	1000707
992	708
992	1000708
992	662
992	1003873
992	3873
992	1003874
992	3875
992	1003875
992	3876
992	1003876
992	5944
992	5945
992	5946
992	3874
993	2585
993	1002585
994	1635
994	1634
994	1633
994	630
994	707
995	630
995	707
995	1637
995	1636
995	1639
995	1638
997	2310
997	1002309
997	2309
997	1002308
997	2308
997	1002310
997	2282
997	1002281
997	2281
997	1002307
997	2307
997	1002282
999	1195
999	1194
1000	112
1000	1000214
1000	1000216
1000	214
1000	1000109
1000	109
1000	216
1001	109
1001	1000109
1001	216
1001	1000216
1001	214
1001	1000214
1001	112
1002	214
1002	1000214
1002	1000216
1002	112
1002	1000109
1002	109
1002	216
1003	2315
1003	1002315
1004	2316
1004	1002316
1005	2320
1005	1002320
1006	2321
1008	1002020
1008	2020
1009	2020
1009	1002020
1010	57
1010	1000057
1011	183
1011	1000183
1011	184
1011	1000184
1012	2324
1012	1002324
1013	1000184
1013	184
1013	183
1013	1000183
1014	183
1014	1000183
1014	184
1014	1000184
1015	183
1015	1000183
1015	184
1015	1000184
1016	1000183
1016	1000184
1016	183
1016	184
1017	183
1017	1000183
1017	184
1017	1000184
1018	2317
1018	1002317
1019	2317
1019	1002317
1020	1002319
1020	2319
1021	2319
